code,name,credits,description,prerequisites
EAE 001,— Introduction to Aerospace Science Engineering,(1 unit),"Course Description: Description of the field of aerospace engineering with examples from industry, government, and research. Aerospace engineering principles, ethics, and responsibilities.",
EAE 010,— From the Wright Brothers to Drones & Quadcopters,(2 units),"Course Description: History of aircraft and its influence on society. Topics covered will include Unmanned Aerial Vehicles, safety considerations, economics and privacy issues. Aerodynamics, stability and control will also be introduced.",
EAE 099,— Special Study for Undergraduates,(1-5 units),Course Description: Special study for undergraduates.,Prerequisite(s): Consent of instructor; lower division standing.
EAE 126,— Theoretical & Computational Aerodynamics,(4 units),Course Description: Development of general equations of fluid motion. Study of flow field kinematics and dynamics. Flow about a body. Thin airfoil theory. Viscous effects. Applications of numerical methods to wing analysis and design.,Prerequisite(s): ENG 103 C- or better; ENG 105 C- or better; (ENG 180 C- or better or EAD 115 C- or better or MAT 128C C- or better or EME 115 C- or better).
EAE 127,— Applied Aircraft Aerodynamics,(4 units),"This version has ended; see updated course, below.Course Description: Principles, governing equations, and predictive theories for aircraft aerodynamics. Lift and drag of 2D airfoils, 3D wings, and high-lift devices.",Prerequisite(s): EME 106 C- or better.
EAE 129,— Stability & Control of Aerospace Vehicles,(4 units),Course Description: Aircraft and spacecraft stability and control. Derivation of fundamental equations of motion for aircraft/spacecraft. Fundamentals of feedback. Aircraft flight control systems. Spacecraft attitude control systems.,Prerequisite(s): ENG 102 C- or better.
EAE 130A,— Aircraft Performance & Design,(4 units),"Course Description: Major aircraft design experience with multiple realistic constraints including aerodynamics, performance analysis, weight estimation, stability and control, and appropriate engineering standards.",Prerequisite(s): (EAE 126 or EAE 127 C- or better); EAE 129 C- or better (can be concurrent).
EAE 130B,— Aircraft Performance & Design,(4 units),"Course Description: Major aircraft design experience including detailed design, cost analysis, analysis of aircraft structure, propulsion system, aerodynamics, aircraft handling qualities, manufacturing, or meeting relevant engineering standards.",Prerequisite(s): EAE 130A C- or better.
EAE 133,— Finite Element Methods in Structures,(4 units),"Course Description: Introduction to the aerospace structural design process. History of aircraft and spacecraft materials. Effects of loading beyond elastic limit. Deflections and stresses due to combined loading. Virtual work principles, and finite element methods. Applications to aerospace structures.",Prerequisite(s): ENG 104 C- or better.
EAE 135,— Aerospace Structures,(4 units),"Course Description: Analysis and design methods used in aerospace structures. Shear flow in open, closed and multicell beam cross-sections, buckling of flat and curved sheets, tension field beams, local buckling.",Prerequisite(s): ENG 104 C- or better; EAE 126 or EAE 127 recommended.
EAE 137,— Structural Composites,(4 units),Course Description: Overview of materials and technology for creating structures from fiber reinforced resin matrix composite material systems. Elementary design analysis and case studies emphasizing aeronautical applications.,Prerequisite(s): ENG 104 C- or better.
EAE 138,— Aircraft Propulsion,(4 units),"Course Description: Analysis/design of modern aircraft gas turbine engines. Development/application of cycle performance prediction techniques. Introduction to design of inlets, compressors, burners, turbines, and nozzles. Cycle design for specific applications.",Prerequisite(s): EME 106 C- or better.
EAE 140,— Rocket Propulsion,(4 units),"Course Description: Fluid and thermodynamics of rocket engines, liquid and solid rocket propulsion. Space propulsion concepts and space mission requirements.",Prerequisite(s): EME 106 C- or better.
EAE 141,— Space Systems Design,(4 units),"Course Description: Introduction to space systems design including space project organization, requirements definition and specification, concepts formulation, system tradeoffs, subsystem design. Prototype space mission concepts are presented and a multidisciplinary mission design is developed that considers all relevant architecture elements.",Prerequisite(s): ENG 102 C- or better; EME 106 C- or better.
EAE 142,— Orbital Mechanics,(4 units),"Course Description: Satellite orbits, multistage rockets, current global boosters, and new technologies. Design application problems include satellites, trajectory optimizations, and interplanetary trajectories.",Prerequisite(s): ENG 102 C- or better.
EAE 143A,— Space Vehicle Design,(4 units),"This version has ended; see updated course, below.Course Description: Governing equations and operational practices of robotic and human space travel. Principles of Systems Engineering are introduced and are used as a basis for a team project in spacecraft reverse-engineering and design.",Prerequisite(s): ENG 102 C- or better; ENG 103 C- or better; ENG 105 C- or better.
EAE 143B,— Space Mission Design,(4 units),"Course Description: Introduction to space systems design including space project organization, requirements definition & specification, concepts formulation, system tradeoffs, and subsystem design. Prototype space mission concepts & multidisciplinary mission design.",Prerequisite(s): EAE 143A C- or better.
EAE 189C,— Flight Simulation & Testing in Design of Aircraft & Spacecraft,(4 units),"Course Description: Teaches flight test techniques together with data analysis methods to prepare students for any type of flight testing including fixed wing, rotary wing and launch vehicles.",Prerequisite(s): ENG 102; consent of instructor.
EAE 198,— Directed Group Study,(1-5 units),Course Description: Directed group study.,Prerequisite(s): Consent of instructor.
EAE 199,— Special Study for Advanced Undergraduates,(1-5 units),Course Description: Special study for advanced undergraduates.,Prerequisite(s): Consent of instructor.
AAS 010,— African-American Culture & Society,(4 units),"Course Description: Critical examination of the historical, political, social, and economic factors that have affected the development and status of African-American people in contemporary society.",
AAS 012,— Introduction to African Studies,(4 units),"Course Description: Introduction to African Studies which will focus on the various disciplinary perspectives through which African society and culture are generally studied. A survey of methods, resources and conceptual tools for the study of Africa.",
AAS 015,— Introduction to African American Humanities,(4 units),"Course Description: Introduction to the humanist tradition developed by writers, philosophers, and artists of African descent in the West. Attention also given to African sources, as well as European, Caribbean, Latin-American, and North American variations on this tradition.",
AAS 016,— Verbal & Performance Arts in Africa,(4 units),"Course Description: African verbal arts; oral texts from different African cultures. Types of critical response to oral texts, role of oral artists, context and esthetics of oral performance in Africa.",
AAS 017,— Women in African Societies,(4 units),"Course Description: Gender relations in traditional and contemporary African society. Involvement of African women in politics, religion, the economy, the arts. African responses to feminist theory. Images of women in African literature.",
AAS 018,— Introduction to Caribbean Studies,(4 units),"Course Description: Introduction to the contemporary culture, peoples, politics, and societies of the Caribbean. Topics include movements of people, goods and ideas across the Atlantic world and creative productions within the Caribbean.",
AAS 050,— Black Popular Culture,(4 units),"Course Description: Survey of the African American images in popular culture (film, television, comedy, sports and music).",
AAS 051,— History of Afro American Dance,(4 units),"Course Description: Evolution of African-American dance, tracing its history and development from West and Central Africa to the United States. Investigates the social and cultural relevance of African American dance and its artistic merits through  contributions from its choreographers and performers.",
AAS 052,— African Traditional Religion,(4 units),"Course Description: Introduction to traditional religions of the sub-Saharan African peoples: emphasis on myths, rituals and symbols in West, East, Central and South African indigenous religions. Examines themes: sacred kingship, divination system, women, prophecy, conversion and adaptation to Islam and Christianity.",
AAS 053,— Black California,(4 units),Course Description: Introduction to the experiences and contributions of people of African descent in California from the early 18th century to the present.,
AAS 080,— Introduction to Black Politics,(4 units),"Course Description: Introduction to the analysis of Afro-American politics, using conceptual frameworks from political science and other social sciences.",
AAS 099,— Special Study for Undergraduates,(1-5 units),Course Description: Special study for undergraduates.,Prerequisite(s): Consent of instructor.
AAS 100,— Survey of Ethnicity in the US,(4 units),"Course Description: Sociological and historical analysis of the experience, culture, and relations of and between groups considered racial and/or ethnic minorities in the United States.",Prerequisite(s): Upper division standing or consent of instructor.
AAS 101,— Introduction to Research in the Afro-American Community,(4 units),Course Description: Introductory survey of Afro-American Studies methods and techniques; problems and methodology in Afro-American Studies.,Prerequisite(s): AAS 010; or consent of instructor.
AAS 107A,— African Descent Communities & Culture in the Caribbean & Latin America,(4 units),"Course Description: Origin and development of African descent communities and cultures in the Caribbean, and Latin America. Similarities and differences among African descent communities and cultures in terms of religious practices, music, and national identity.",Prerequisite(s): Upper division standing.
AAS 107B,— African Descent Communities & Culture in North America,(4 units),"Course Description: Study of the origin and development of African descent communities and cultures in the U.S.A., Canada, and Mexico.",Prerequisite(s): Upper division standing.
AAS 107C,— African Descent Communities & Culture in Asia,(4 units),Course Description: Study of the origin and development of African Descent communities and cultures in Asia.,
AAS 107D,— African Descent Communities & Cultures in Europe,(4 units),Course Description: Study of the origin and development of African Descent communities and cultures in Europe.,
AAS 110,— West African Social Organization,(4 units),"Course Description: Ecology, population, social and political organization, and culture of West Africa in the precolonial, colonial, and post-colonial periods.",
AAS 111,— Cultural Politics in Contemporary Africa,(4 units),"Course Description: Themes and style of new cultural forms in Africa as displayed in art, music, film and writing, especially in regard to blending of indigenous and foreign influences. Social and political forces shaping contemporary cultural expression.",Prerequisite(s): AAS 012; or upper division standing.
AAS 115,— Kingdoms in Contemporary African Politics,(4 units),Course Description: Kingdoms and monarchies in sub-Saharan Africa and their role in contemporary politics through the comparative political economy approach.,Prerequisite(s): AAS 012 recommended.
AAS 116,— Presidential Politics in Africa,(4 units),"Course Description: Political leadership in sub-Saharan Africa, focusing on historical, institutional, and biographical influences and outcomes through political economy approaches.",
AAS 123,— Black Female Experience in Contemporary Society,(4 units),"Course Description: Black female social, intellectual, and psychological development. Black women's contributions in history, literature, and social science; life experiences of Black women and philosophical underpinnings of the feminist movement.",Prerequisite(s): Upper division standing or consent of instructor.
AAS 130,— Education in the African-American Community,(4 units),Course Description: Examination of the history of the education of African Americans in the United States. Examination and critique of contemporary theories concerning the schooling of African Americans. (Former AAS 140.),
AAS 133,— The Black Family In America,(4 units),"Course Description: Analysis of social science research to examine relationship between black (African-descent) family structures, patterns of functioning, and political, economic, and social conditions in the U.S.",Prerequisite(s): Upper division standing or consent of instructor.
AAS 141,— Psychology of the African American Experience,(4 units),"Course Description: Introduction to the psychological issues faced by African Americans. Description of any disparities in mental health care experienced by African American and Diaspora populations in the United States. Analysis of issues from European/Western and Afrocentric frame of reference. Emphasis on Optimal Theory, a psychological theory based on an Afrocentric world view.",Prerequisite(s): AAS 010; or consent of instructor; upper division status.
AAS 145A,— Black Social & Political Thought,(4 units),Course Description: Exploration and analysis of Black social and political thought in the Americas.,Prerequisite(s): AAS 010 or AAS 080; or consent of instructor.
AAS 145B,— Black Intellectuals,(4 units),"Course Description: Exposition and critical analysis of selected theoretical writings of Black intellectuals, and especially political and social thinkers, in the Americas.","Prerequisite(s): (AAS 010,  AAS 080,  AAS 145A); or consent of instructor."
AAS 150A,— Afro-American Visual Arts Tradition: A Historical & Cultural Study,(4 units),"Course Description: Afro-American visual arts tradition, folk and formal, in historical and cultural context, from 1600 through Reconstruction.",Prerequisite(s): Upper division standing.
AAS 150B,— Afro-American Visual Arts Tradition: A Historical & Cultural Study,(4 units),"Course Description: Afro-American visual arts tradition, folk and formal, in historical and cultural context, from Reconstruction to the present.",Prerequisite(s): Upper division standing.
AAS 151,— Afro-American Vernacular Music & Verbal Arts,(4 units),"Course Description: Socio-political dimensions of Afro-American musical forms like spiritual, work song, minstrelsy blues, rhythm and blues, jazz, gospel, soul and contemporary pop, and related verbal arts like preaching, toasting, rapping.",
AAS 152,— Major Voices in Black World Literature,(4 units),Course Description: Recurrence of cultural tropes in the works of major black world authors and formation of an African-oriented canon. Principal activities include critical reading and discovery of literature as a cultural resource.,Prerequisite(s): AAS 010 or AAS 012 or AAS 018; upper division standing.
AAS 153,— African Literature,(4 units),Course Description: Colonial and post-colonial sub-Saharan African literature and the African oral traditions from which it emerged. Genres and themes of African literature from the 19th century to the present.,Prerequisite(s): Completion of Entry Level Writing Requirement (ELWR).
AAS 155A,"— African-American Dance & Culture in the United States, Brazil & the Caribbean",(4 units),"Course Description: Comparative study of the African American dance forms in the U.S.A., Brazil, Haiti, Cuba, Jamaica, Barbados, and Trinidad. Examination of ritual, folk, and popular dance forms and the socio/historical factors that have influenced these forms.",
AAS 156,— Language & Identity in Africa & the African Diaspora,(4 units),"Course Description: Relationship between language and identity in literature from Africa and the African Diaspora. Use of pidgins, Creoles, translation from African languages and impact of language policies.",Prerequisite(s): AAS 012; or upper division standing.
AAS 157,— Literature & Society in South Africa,(4 units),"Course Description: Political and social developments in 20th-century South Africa as illustrated by a range of South African writing. Response of different writers to race relations, impact of government policy on types and context of writing.",Prerequisite(s): Upper division standing.
AAS 160,— African-American Folklore,(4 units),"Course Description: Theory and history of African American folklore and folklife, including music, material culture, oral narrative, proverbs, and humor. African and Caribbean cultural influences on New World folk genres will be probed.",Prerequisite(s): AAS 010.
AAS 162,— Islam in Africa & the Americas,(4 units),Course Description: Comparative and historical survey of Islam in the regional and cultural settings of Sub-Saharan Africa and the Americas.,Prerequisite(s): RST 060 or AAS 012 or AAS 110.
AAS 163,— African Religions in the Americas,(4 units),"Course Description: Comparative study of African religious heritage in the Americas: Jamaica, Trinidad, Cuba, U.S.A., Haiti, and Brazil. Emphasis on the origins and development of Candomble, Santeria, Shango, Vodun, and Rastafarianism in the New World.",Prerequisite(s): AAS 010; AAS 015; or consent of instructor.
AAS 165,— Afro-Christianity & the Black Church,(4 units),"Course Description: Examination of the historical role of Christian belief and practice as well as the institution of the Black Church in the experience of African Americans, from slavery to the present.",Prerequisite(s): AAS 010; AAS 015; or consent of instructor; upper division standing.
AAS 168,— Black Documentary: History & Practice,(4 units),"Course Description: Study of Black documentary history and understanding of the use of the documentary form for political purposes. Discussion of documentary theory. Each student, singly or in a team, will create and carefully edit a documentary project.",Prerequisite(s): FMS 001; AAS 170; and consent of instructor; AAS 050 recommended.
AAS 169,— History of African American Television,(4 units),Course Description: History of the representation of African Americans in television; how the representations reflect social and political forces in American society. Role of African Americans in actively shaping their representation.,Prerequisite(s): AAS 050 recommended.
AAS 170,— African-American Film & Video,(4 units),Course Description: Comparative approach in the study of fictional film and video dealing with the African American experience drawing on film and cultural studies to examine and discuss selected works.,Prerequisite(s): FMS 001; AAS 050 recommended.
AAS 171,— Black African & Black European Film & Video,(4 units),"Course Description: Comparative approach in the study of dramatic films and videos that treat black life in Africa and Europe. Critical attention focused on the imaginative construction of ethnicity, race, nationality, gender, and sexuality in each particular work.",Prerequisite(s): AAS 015 or AAS 050 or ENL 160 or ENL 162; or consent of instructor.
AAS 172,— Diaspora & New Black Identities,(4 units),"Course Description: Critical analysis about what it means to be Black/African American in the United States today. Topics include old and new diasporas, immigration, national origin, language, religion, class, education, politics, identity and cultural heritage.",
AAS 175A,— Black Documentary: History & Theory,(4 units),Course Description: Black documentary history and documentary theory. Use of black documentary for political purposes.,Prerequisite(s): FMS 001; AAS 170; AAS 050 recommended.
AAS 175B,— Black Documentary Practicum,(4 units),"Course Description: Creation of documentary projects, with students working in production crews.",Prerequisite(s): AAS 175A; and consent of instructor.
